source,target,tgt_lng
"Artifact Expert: Talisman Of Ascension","神器专家：飞升护符","zh-CN"
"Disruptor Crest","耀光使之徽","zh-CN"
"Longshot Crown","狙神之冕","zh-CN"
"Void Crown","虚空之冕","zh-CN"
"Artifact Expert: Horizon Focus","神器专家：视界专注","zh-CN"
"Hexgate Travel","海克斯飞门之旅","zh-CN"
"Artifact Expert: Sniper's Focus","神器专家：狙击手的专注","zh-CN"
"Leap of Faith","信仰之跃","zh-CN"
"Artifact Expert: Wits End","神器专家：智慧末刃","zh-CN"
"Sentinels of Light","光明哨兵","zh-CN"
"Might","诺克斯克里的武力","zh-CN"
"Piltover Crown","皮尔特沃夫之冕","zh-CN"
"Demacia Crest","德玛西亚之徽","zh-CN"
"Juggernaut Crest","主宰之徽","zh-CN"
"Yordle Crest","约德尔人之徽","zh-CN"
"Bruiser Crown","斗士之冕","zh-CN"
"Noxus Crest","诺克萨斯之徽","zh-CN"
"Quickstriker Crown","迅击战士之冕","zh-CN"
"Chosen Wolves","与狼共舞","zh-CN"
"Invoker Circlet","神谕者之环","zh-CN"
"Gunslinger Crest","枪手之徽","zh-CN"
"Gunslinger Circlet","枪手之环","zh-CN"
"Artifact Expert: Lightshield Crest","神器专家：光盾徽章","zh-CN"
"Perfect Parry","完美闪避","zh-CN"
"The Axiomata","元初公理","zh-CN"
"Shiv Expert: Twisted Fate","电刃专家：崔斯特","zh-CN"
"Lifting Competition","举重比赛","zh-CN"
"Timewinders","时间旅者","zh-CN"
"Secrets of the Sands","沙海奥秘","zh-CN"
"Artifact Expert: Unending Despair","神器专家：无终恨意","zh-CN"
"Invoker Crown","神谕者之冕","zh-CN"
"Noxus Circlet","诺克萨斯之环","zh-CN"
"Arcanist Circlet","法师之环","zh-CN"
"Warden Crest","神盾使之徽","zh-CN"
"Quickstriker Circlet","迅击战士之环","zh-CN"
"Bilgewater Circlet","比尔吉沃特之环","zh-CN"
"Artifact Expert: Seeker's Armguard","神器专家：探索者的护臂","zh-CN"
"Call to Chaos","混沌召唤","zh-CN"
"The Golden Egg","金蛋","zh-CN"
"Retribution","正义报复","zh-CN"
"Min-Max","可大可小","zh-CN"
"Indecision II","优柔寡断 II","zh-CN"
"Arcane Viktor-y","双城赢家","zh-CN"
"Epic Rolldown","8级D干的传说","zh-CN"
"Max Build","顶尖构筑","zh-CN"
"Firesale","火爆甩卖","zh-CN"
"Spreading Roots","蔓延之根","zh-CN"
"Indecision I","优柔寡断 I","zh-CN"
"Survivor","幸存者","zh-CN"
"Small Grab Bag","小小福袋","zh-CN"
"Warlord's Honor","猛将的荣耀","zh-CN"
"Team Building","团队建设","zh-CN"
"Tactician's Kitchen","锅铲厨房","zh-CN"
"Hustler","花到上头","zh-CN"
"Band of Thieves II+","窃贼帮派 II+","zh-CN"
"Giant and Mighty","大而有力","zh-CN"
"Replication","反响","zh-CN"
"Crash Test Dummies","碰撞测试假人","zh-CN"
"Lucky Gloves+","幸运手套+","zh-CN"
"Dummify","假人化","zh-CN"
"Patience is a Virtue","耐��是一种美德","zh-CN"
"Deadlier Caps","更要命的帽子","zh-CN"
"Tiny, but Deadly","小而致命","zh-CN"
"Augmented Power","强化之能量","zh-CN"
"Mess Hall","饭厅","zh-CN"
"Missed Connections","别再错过","zh-CN"
"Win Out","登上最高峰","zh-CN"
"Bronze For Life II","终身黄铜 II","zh-CN"
"Crown's Will","王冠意志","zh-CN"
"Trifecta I","三项赛 I","zh-CN"
"Early Learnings","宝宝学院","zh-CN"
"Growth Mindset","成长型思维","zh-CN"
"Prismatic Destiny+","棱彩命运+","zh-CN"
"Trifecta II","三项赛 II","zh-CN"
"Chaotic Evolution","无序进化","zh-CN"
"One Buff, Two Buff","1个霸符，2个霸符","zh-CN"
"Glass Cannon I","玻璃大炮 I","zh-CN"
"Pandora's Bench","潘朵拉的备战席","zh-CN"
"Makeshift Armor I","应急护甲 I","zh-CN"
"Makeshift Armor II","应急护甲 II","zh-CN"
"Upward Mobility","上进心","zh-CN"
"Big Friend I","大哥罩我 I","zh-CN"
"Explosive Growth+","爆炸式增长+","zh-CN"
"Silver Destiny","白银命运","zh-CN"
"Explosive Growth","爆炸式增长","zh-CN"
"Precision and Grace","精准而优雅","zh-CN"
"Best Friends II","最佳好友 II","zh-CN"
"Cluttered Mind","纷乱头脑","zh-CN"
"Best Friends I","最佳好友 I","zh-CN"
"Silver Destiny+","白银命运+","zh-CN"
"Heavy Is the Crown","王冠之重","zh-CN"
"Hard Commit","硬性承诺","zh-CN"
"Seraphim's Staff","炽天使之拥","zh-CN"
"Buried Treasures","珍藏财宝","zh-CN"
"Last Second Save","最后一秒营救","zh-CN"
"Woven Magic","纺织魔法","zh-CN"
"Healing Orbs I","治疗法球 I","zh-CN"
"The Trait Tree+","羁绊树+","zh-CN"
"Table Scraps","餐桌剩菜","zh-CN"
"Lucky Gloves","幸运手套","zh-CN"
"Gold Destiny","黄金命运","zh-CN"
"Coronation","加冕礼","zh-CN"
"Teaming Up","集结战队","zh-CN"
"Lunch Money","午餐钱","zh-CN"
"Nine Lives","九条命","zh-CN"
"Spoils of War I","战争财宝 I","zh-CN"
"Worth the Wait","值得等待","zh-CN"
"Branching Out+","节外生枝+","zh-CN"
"Item Grab Bag","装备百宝袋","zh-CN"
"Going Long","遥遥领先","zh-CN"
"Staffsmith","杖之工匠","zh-CN"
"Expected Unexpectedness","意料之中的意外","zh-CN"
"Placebo+","安慰剂+","zh-CN"
"Hold the Line","坚守防线","zh-CN"
"Spirit Link","灵魂连接","zh-CN"
"Iron Assets","黑铁资产","zh-CN"
"Hefty Rolls","大刷特刷","zh-CN"
"Feed the Flames","火上浇油","zh-CN"
"Gold Destiny+","黄金命运+","zh-CN"
"Hard Bargain","砍价高手","zh-CN"
"Hedge Fund","对冲基金","zh-CN"
"Two Much Value","由二生D","zh-CN"
"Heroic Grab Bag+","英勇福袋+","zh-CN"
"Backup Bows","战时补给：反曲之弓","zh-CN"
"Plot Armor","应急护盾","zh-CN"
"Heart of Steel","心之钢","zh-CN"
"Cruel Pact","恶魔契约","zh-CN"
"Heroic Grab Bag++","英勇福袋++","zh-CN"
"Salvage Bin","打捞桶","zh-CN"
"Patient Study","耐心学习","zh-CN"
"Urf's Gambit","海牛阿福的锅铲战术","zh-CN"
"Slammin'","物尽其用","zh-CN"
"Bronze For Life I","终身黄铜 I","zh-CN"
"Souls or Serpents","灵魂与银蛇之择","zh-CN"
"High Voltage","高压电","zh-CN"
"Solo Leveling","独自升级","zh-CN"
"Exiles I","浪人 I","zh-CN"
"Treasure Hunt","寻宝","zh-CN"
"Slightly Magic Roll","轻量魔法投掷","zh-CN"
"Two Trick","两把刷子","zh-CN"
"Find Your Center","C位的觉悟","zh-CN"
"Good For Something I","有用之材 I","zh-CN"
"Salvage Bin+","打捞桶+","zh-CN"
"Spirit of Redemption","救赎盔甲","zh-CN"
"Speedy Double Kill","一波带走俩","zh-CN"
"Forward Thinking","前瞻思维","zh-CN"
"Flexible","灵活摇摆","zh-CN"
"Restart Mission","重启任务","zh-CN"
"Duo Queue","双排","zh-CN"
"Preparation II","伺机待发 II","zh-CN"
"Slammin'+","物尽其用+","zh-CN"
"Level Up!","升级咯！","zh-CN"
"Twin Guardians","双子守护神","zh-CN"
"Second Wind","复苏之风","zh-CN"
"Stand United","联合作战","zh-CN"
"Stars Are Born","天生二星","zh-CN"
"Advanced Loan","高级贷款","zh-CN"
"The Golden Dragon","金霖龙","zh-CN"
"Continuous Conjuration","战时补给：无用大棒","zh-CN"
"Binary Airdrop","二进制空投","zh-CN"
"One, Two, Five!","一，二，五！","zh-CN"
"Silver Spoon","银汤匙","zh-CN"
"Infinity Protection","三相庇护","zh-CN"
"Care Package","关爱包裹","zh-CN"
"Swordsmith","剑之工匠","zh-CN"
"Epoch+","新纪元+","zh-CN"
"Kahunahuna","秘传奥义","zh-CN"
"Component Heist","散件丰收日","zh-CN"
"Aura Farming","低调炫耀","zh-CN"
"Belt Overflow","腰带溢流","zh-CN"
"Forged in Strength","神力天铸","zh-CN"
"Ones Twos Three","一二二三","zh-CN"
"Eye For An Eye","以眼还眼","zh-CN"
"The Trait Tree","羁绊树","zh-CN"
"Savings Account","储蓄账户","zh-CN"
"Crafted Crafting","精心打造","zh-CN"
"Jeweled Lotus I","珠光莲花 I","zh-CN"
"Birthday Reunion","生日聚会","zh-CN"
"Cursed Crown","诅咒冠冕","zh-CN"
"Component Buffet","基础装备自助餐","zh-CN"
"Prizefighter","赏金战士","zh-CN"
"Heroic Grab Bag","英勇福袋","zh-CN"
"Exclusive Customization","专属定制","zh-CN"
"Preparation I","伺机待发 I","zh-CN"
"Invested++","投资++","zh-CN"
"Wand Overflow","法杖溢流","zh-CN"
"Radiant Rascal","光明无赖","zh-CN"
"Spreading Roots+","蔓延之根+","zh-CN"
"Ascension","飞升","zh-CN"
"Lineup","列队","zh-CN"
"Pandora's Items II","潘朵拉的装备 II","zh-CN"
"Luxury Subscription","奢侈品订购","zh-CN"
"Glass Cannon II","玻璃大炮 II","zh-CN"
"Recombobulator","变形重组器","zh-CN"
"Over Encumbered","运力不足","zh-CN"
"Little Buddies","小伙伴","zh-CN"
"Efficient Shopper","薅羊毛","zh-CN"
"Thorn-Plated Armor","棘刺镀板铠甲","zh-CN"
"Advanced Loan+","高级贷款+","zh-CN"
"Called Shot","进攻宣告","zh-CN"
"Commerce Core","贸易中心","zh-CN"
"Eye For An Eye+","以眼还眼+","zh-CN"
"Focused Fire","集中火力","zh-CN"
"Invested+","投资+","zh-CN"
"Bodyguard Training","利落保镖","zh-CN"
"Raining Gold","天降金币","zh-CN"
"Cry Me A River","泪流成河","zh-CN"
"A Magic Roll","魔法投掷","zh-CN"
"Sword Overflow","大剑溢流","zh-CN"
"We Stick Together","水乳交融","zh-CN"
"Clear Mind","清晰头脑","zh-CN"
"Worth the Wait II","值得等待 II","zh-CN"
"Titanic Titan","巨型泰坦","zh-CN"
"Delayed Start","延迟开始","zh-CN"
"Rolling For Days I","D个痛快！ I","zh-CN"
"Clockwork Accelerator","发条增速器","zh-CN"
"Band of Thieves II","窃贼帮派 II","zh-CN"
"Corrosion","腐蚀","zh-CN"
"Boxing Lessons","拳击课程","zh-CN"
"Starter Kit","入门套件","zh-CN"
"Late Game Specialist","后期专家","zh-CN"
"Golemify","魔像化","zh-CN"
"Birthday Present","生日礼物","zh-CN"
"Pyromaniac","嗜火","zh-CN"
"Indiscriminate Killer","无差别攻击","zh-CN"
"Shimmerscale Essence","金鳞精粹","zh-CN"
"Flowing Tears","战时补给：女神之泪","zh-CN"
"Branching Out","节外生枝","zh-CN"
"Solo Plate","单身板甲","zh-CN"
"Sweet Treats","甜点","zh-CN"
"Spoils of War III","战争财宝 III","zh-CN"
"Spoils of War II","战争财宝 II","zh-CN"
"Prismatic Destiny","棱彩命运","zh-CN"
"Exiles II","浪人 II","zh-CN"
"Band of Thieves II++","窃贼帮派 II++","zh-CN"
"Spear's Will","长矛意志","zh-CN"
"ReinFOURcement","四费增援","zh-CN"
"NO SCOUT NO PIVOT","不侦察，不变阵","zh-CN"
"Late Game Scaling","后期收益","zh-CN"
"On a Roll","升星之运","zh-CN"
"Placebo","安慰剂","zh-CN"
"Malicious Monetization","恶意货币化","zh-CN"
"Cooking Pot","金色炊具","zh-CN"
"Pandora's Items III","潘朵拉的装备 III","zh-CN"
"Trade Sector","DD街区","zh-CN"
"Pilfer","挖角","zh-CN"
"Big Grab Bag","大百宝袋","zh-CN"
"Caretaker's Favor","游神的眷顾","zh-CN"
"3 Threes","三，三，三！","zh-CN"
"Critical Success","战时补给：拳套","zh-CN"
"Celestial Blessing I","星界赐福 I","zh-CN"
"Celestial Blessing II","星界赐福 II","zh-CN"
"Prismatic Ticket","棱彩门票","zh-CN"
"Carve a Path","战时补给：暴风大剑","zh-CN"
"Celestial Blessing III","星界赐福 III","zh-CN"
"Caretaker's Ally","游神的盟友","zh-CN"
"Construct a Companion","挑个好伙计！","zh-CN"
"Calculated Loss","存心失利","zh-CN"
"Risky Moves","冒险举动","zh-CN"
"Soul Awakening","灵魂唤醒","zh-CN"
"Band of Thieves","窃贼帮派","zh-CN"
"Slice of Life","人生切片","zh-CN"
"Jeweled Lotus II","珠光莲花 II","zh-CN"
"Money Monsoon","摇钱树","zh-CN"
"Living Forge","活体锻炉","zh-CN"
"Warpath","征战之路","zh-CN"
"Blood Offering","鲜血祭品","zh-CN"
"Radiant Relics","光明圣物","zh-CN"
"Extra Buckles","战时补给：巨人腰带","zh-CN"
"Mace's Will","权杖意志","zh-CN"
"Know Your Enemy","了解你的敌人","zh-CN"
"Legion of Threes","三幻神","zh-CN"
"Gain @Gold@ Gold","获得@Gold@金币","zh-CN"
"Double Trouble","好事成双","zh-CN"
"Tons of Stats!","成吨的属性！","zh-CN"
"Tiniest Titan","最小巨人","zh-CN"
"Pair of Fours","一对4","zh-CN"
"Epoch","新纪元","zh-CN"
"Healing Orbs II","治疗法球 II","zh-CN"
"Pandora's Items","潘朵拉的装备","zh-CN"
"Portable Forge","便携锻炉","zh-CN"
"Latent Forge","休眠锻炉","zh-CN"
"Comeback Story","绝境反击","zh-CN"
"Promised Protection","承诺之护","zh-CN"
"Deadlier Blades","更要命的战刃","zh-CN"
"Shopping Spree","大买特买","zh-CN"
"Just Hit","点击即送","zh-CN"
"Demacia-Noxus War","德诺战争","zh-CN"
"Tome of Traits","纹章之书","zh-CN"
"Completed Item Anvil","成装锻造器","zh-CN"
"Component Anvil","基础装备锻造器","zh-CN"
"Artifact Item Anvil","神器装备锻造器","zh-CN"
"Support item anvil","辅助装锻造器","zh-CN"
"Mercenary Chest","赏金猎人宝箱","zh-CN"
"Tristana","崔丝塔娜","zh-CN"
"Lulu","璐璐","zh-CN"
"Teemo","提莫","zh-CN"
"Rumble","兰博","zh-CN"
"Nautilus","诺提勒斯","zh-CN"
"Twisted Fate","崔斯特","zh-CN"
"Gangplank","普朗克","zh-CN"
"Illaoi","俄洛伊","zh-CN"
"Miss Fortune","厄运小姐","zh-CN"
"Sion","赛恩","zh-CN"
"Briar","贝蕾亚","zh-CN"
"Draven","德莱文","zh-CN"
"Ambessa","安蓓萨","zh-CN"
"Zoe","佐伊","zh-CN"
"Leona","蕾欧娜","zh-CN"
"Aphelios","厄斐琉斯","zh-CN"
"Taric","塔里克","zh-CN"
"Jarvan IV","嘉文四世","zh-CN"
"Sona","娑娜","zh-CN"
"Garen","盖伦","zh-CN"
"Lux","拉克丝","zh-CN"
"Anivia","艾尼维亚","zh-CN"
"Ashe","艾希","zh-CN"
"Braum","布隆","zh-CN"
"Lissandra","丽桑卓","zh-CN"
"Milio","米利欧","zh-CN"
"Neeko","妮蔻","zh-CN"
"Jinx","金克丝","zh-CN"
"Caitlyn","凯特琳","zh-CN"
"Vi","蔚","zh-CN"
"Seraphine","萨勒芬妮","zh-CN"
"Yasuo","亚索","zh-CN"
"Ahri","阿狸","zh-CN"
"Wukong","孙悟空","zh-CN"
"Shen","慎","zh-CN"
"Malzahar","玛尔扎哈","zh-CN"
"Rek'Sai","雷克塞","zh-CN"
"Cho'Gath","科加斯","zh-CN"
"Kog'Maw","克格莫","zh-CN"
"Annie","安妮","zh-CN"
"Ornn","奥恩","zh-CN"
"Kindred","千珏","zh-CN"
"Azir","阿兹尔","zh-CN"
"Zilean","基兰","zh-CN"
"Fiddlesticks","费德提克","zh-CN"
"Shyvana","希瓦娜","zh-CN"
"Galio","加里奥","zh-CN"
"Tahm Kench","塔姆","zh-CN"
"Sejuani","瑟庄妮","zh-CN"
"Sett","瑟提","zh-CN"
"Brock","岩宝","zh-CN"
"T-Hex","海克斯霸龙","zh-CN"
"Bel'Veth","卑尔维斯","zh-CN"
"Singed","辛吉德","zh-CN"
"Aurelion Sol","奥瑞利安·索尔","zh-CN"
"Veigar","维迦","zh-CN"
"Baron Nashor","纳什男爵","zh-CN"
"Darius","德莱厄斯","zh-CN"
"Yone","永恩","zh-CN"
"Warwick","沃里克","zh-CN"
"Fizz","菲兹","zh-CN"
"Poppy ","波比","zh-CN"
"Kennen ","凯南","zh-CN"
"Ziggs ","吉格斯","zh-CN"
"Aatrox ","亚托克斯","zh-CN"
"Volibear ","沃利贝尔","zh-CN"
"Jhin","烬","zh-CN"
"Piltover Invention","皮尔特沃夫发明","zh-CN"
"MalzaharVoidling","玛尔扎哈 虚灵","zh-CN"
"Sand Soldier","黄沙士兵","zh-CN"
"Sylas ","塞拉斯","zh-CN"
"Ryze ","瑞兹","zh-CN"
"Nidalee ","奈德丽","zh-CN"
"Tryndamere ","泰达米尔","zh-CN"
"Rift Herald ","峡谷先锋","zh-CN"
"Mel ","梅尔","zh-CN"
"Graves ","格雷福斯","zh-CN"
"Skarner ","斯卡纳","zh-CN"
"Diana ","黛安娜","zh-CN"
"Kai'Sa ","卡莎","zh-CN"
"Renekton ","雷克顿","zh-CN"
"Nasus ","内瑟斯","zh-CN"
"Xerath ","泽拉斯","zh-CN"
"Thresh ","锤石","zh-CN"
"Gwen ","格温","zh-CN"
"Kalista ","卡莉丝塔","zh-CN"
"LeBlanc ","乐芙兰","zh-CN"
"Viego","佛耶戈","zh-CN"
"Ekko","艾克","zh-CN"
"Bard ","巴德","zh-CN"
"Vayne","薇恩","zh-CN"
"Atakhan","厄塔汗","zh-CN"
"Yunara","芸阿娜","zh-CN"
"Swain","斯维因","zh-CN"
"Xin Zhao","赵信","zh-CN"
"Yorick ","约里克","zh-CN"
"Orianna ","奥莉安娜","zh-CN"
"Qiyana","奇亚娜","zh-CN"
"Loris","洛里斯","zh-CN"
"Blitzcrank","布里茨","zh-CN"
"Frozen Tower","冰封之塔","zh-CN"
"Dr. Mundo","蒙多医生","zh-CN"
"Zaahen","亚恒","zh-CN"
"Tibbers","提伯斯","zh-CN"
"Lucian & Senna","卢锡安与赛娜","zh-CN"
"Kobuko & Yuumi","可酷伯与悠米","zh-CN"
"Golem","魔像","zh-CN"
"Rift Scuttler","峡谷迅捷蟹","zh-CN"
"Training Dummy","训练假人","zh-CN"
"Elder Dragon","远古巨龙","zh-CN"
"Ascendant","远古巫灵","zh-CN"
"Freljord","弗雷尔卓德","zh-CN"
"Juggernaut","主宰","zh-CN"
"Quickstriker","迅击战士","zh-CN"
"Longshot","狙神","zh-CN"
"Vanquisher","征服者","zh-CN"
"Caretaker","星界游神","zh-CN"
"Ixtal","以绪塔尔","zh-CN"
"Arcanist","法师","zh-CN"
"Emperor","沙漠皇帝","zh-CN"
"Star Forger","铸星龙王","zh-CN"
"Dragonborn","龙血武姬","zh-CN"
"Gunslinger","枪手","zh-CN"
"HexMech","海克斯机甲","zh-CN"
"Chainbreaker","解脱者","zh-CN"
"Soulbound","系魂圣枪","zh-CN"
"Piltover","皮尔特沃夫","zh-CN"
"Darkin","暗裔","zh-CN"
"Eternal","永猎双子","zh-CN"
"Dark Child","黑暗之女","zh-CN"
"World Ender","暗裔剑魔","zh-CN"
"Assimilator","虚空之女","zh-CN"
"Disruptor","耀光使","zh-CN"
"Void","虚空","zh-CN"
"Rune Mage","符文法师","zh-CN"
"The Boss","腕豪","zh-CN"
"Glutton","河流之王","zh-CN"
"Invoker","神谕者","zh-CN"
"Demacia","德玛西亚","zh-CN"
"Bilgewater","比尔吉沃特","zh-CN"
"Riftscourge","纳什男爵","zh-CN"
"Targon","巨神峰","zh-CN"
"Shurima","恕瑞玛","zh-CN"
"Blacksmith","山隐之焰","zh-CN"
"Shadow Isles","暗影岛","zh-CN"
"Harvester","远古恐惧","zh-CN"
"Immortal","不落魔锋","zh-CN"
"Heroic","正义巨像","zh-CN"
"Noxus","诺克萨斯","zh-CN"
"Yordle","约德尔人","zh-CN"
"Zaun","祖安","zh-CN"
"Bruiser","斗士","zh-CN"
"Chronokeeper","时光守护者","zh-CN"
"Warden","神盾使","zh-CN"
"Ionia","艾欧尼亚","zh-CN"
"Defender","护卫","zh-CN"
"Huntress","狂野女猎手","zh-CN"
"Rabadon's Deathcap","灭世者的死亡之帽","zh-CN"
"Voltage Conduit","电压导管","zh-CN"
"Micro-Rockets","微型导弹","zh-CN"
"Kinetic Barrier","动能屏障","zh-CN"
"Upgrade!","升级！","zh-CN"
"Magnetron Coil","磁控线圈","zh-CN"
"Gigantification Ray","巨大化射线","zh-CN"
"Momentum Drive","动量驱动器","zh-CN"
"Blast Shield","爆裂护盾","zh-CN"
"90 Caliber Nets","90口径绳网","zh-CN"
"Overclocked Capacitors","超频电容器","zh-CN"
"Continuum Cogs","连续齿轮","zh-CN"
"Tuned Oscillator","调谐振荡器","zh-CN"
"E.M.P.","电磁脉冲","zh-CN"
"Electrical Overload","电流过载","zh-CN"
"Unstable Core","不稳定核心","zh-CN"
"Armor Nullifier","护甲消除器","zh-CN"
"Superior Lifeform","高级生命体","zh-CN"
"Mining Drill","采矿钻机","zh-CN"
"Echo Engine","回声引擎","zh-CN"
"Acceleration Gate","加速之门","zh-CN"
"Dead Man's Dagger","亡者的短剑","zh-CN"
"Lucky Doubloon","幸运达布隆金币","zh-CN"
"Cutthroat's Cutlass","残酷弯刀","zh-CN"
