source,target,tgt_lng
"アーティファクトの専門家: ルーデン テンペスト","神器专家：卢登的激荡","zh-CN"
"ポイズンパル","绝命毒师","zh-CN"
"真の道を歩めI","行走于真实之道 I","zh-CN"
"デマーシアのサークレット","德玛西亚之环","zh-CN"
"ワーデンのクラウン","神盾使之冕","zh-CN"
"ディフェンダーのクラウン","护卫之冕","zh-CN"
"災禍の使者","破灭使者","zh-CN"
"ブルーザーのサークレット","斗士之环","zh-CN"
"ヴォイドのクレスト","虚空之徽","zh-CN"
"ゾウンのクラウン","祖安之冕","zh-CN"
"ヴォーパルスパイク","恐惧之刺","zh-CN"
"ダーキンの大盾","暗裔之盾","zh-CN"
"ダーキンの杖","暗裔之杖","zh-CN"
"トリファリックス","崔法利议会","zh-CN"
"ワーデンのサークレット","神盾使之环","zh-CN"
"滅びの王","破败之王","zh-CN"
"アーティファクトの専門家: マナザネ","神器专家：魔蕴","zh-CN"
"ガンスリンガーのクラウン","枪手之冠","zh-CN"
"ピルトーヴァーのクレスト","皮尔特沃夫之徽","zh-CN"
"ヨードルのクラウン","约德尔人之冕","zh-CN"
"ディスラプターのサークレット","耀光使之环","zh-CN"
"勝利への回転","旋转至胜","zh-CN"
"ロングショットのクレスト","狙神之徽","zh-CN"
"フレヨルドのクレスト","弗雷尔卓德之徽","zh-CN"
"大地のアクシオム","岩土公理","zh-CN"
"ピルトーヴァーのサークレット","皮尔特沃夫之环","zh-CN"
"ブルーザーのクレスト","斗士之徽","zh-CN"
"フレヨルドのサークレット","弗雷尔卓德之环","zh-CN"
"アーティファクトの専門家: ゾーニャの遡時計","神器专家：中娅悖论","zh-CN"
"韋駄天のクレスト","迅击战士之徽","zh-CN"
"間合い維持","离我远点","zh-CN"
"黄昏の試練","暮光试炼","zh-CN"
"アーティファクトの専門家: フィッシュボーン","神器专家：鱼骨头","zh-CN"
"ジャガーノートのクラウン","主宰之冕","zh-CN"
"ヴァンキッシャーのクラウン","征服者之冕","zh-CN"
"ディスラプターのクラウン","耀光使之冠","zh-CN"
"ダーキンの弓","暗裔之弓","zh-CN"
"アルカニストのクレスト","法师之徽","zh-CN"
"アーティファクトの専門家: デスファイア グラスプ","神器专家：冥火之拥","zh-CN"
"イシュタル遠征者","以绪塔尔探险家","zh-CN"
"アーティファクトの専門家: フリッカーブレード","神器专家：纳沃利烁刃","zh-CN"
"ビルジウォーターのクレスト","比尔吉沃特之徽","zh-CN"
"スレイヤーのクレスト","裁决战士之徽","zh-CN"
"プラシディウムの防衛","普雷西典保卫战","zh-CN"
"アーティファクトの専門家: ハルブレイカー","神器专家：破舰者","zh-CN"
"アイオニアのクレスト","艾欧���亚之徽","zh-CN"
"ディフェンダーのクレスト","护卫之徽","zh-CN"
"ヨードルのサークレット","约德尔人之环","zh-CN"
"水のアクシオム","涌泉公理","zh-CN"
"ドラゴンの守護者","巨龙卫士","zh-CN"
"アーティファクトの専門家: 枯死の宝石","神器专家：枯萎珠宝","zh-CN"
"進化と克服","进化，然后征服","zh-CN"
"デマーシアよ永遠に","德玛西亚万岁","zh-CN"
"デマーシアのクラウン","德玛西亚之冕","zh-CN"
"アーティファクトの専門家: 不屈","神器专家：顽强不屈","zh-CN"
"完全支配","全面主宰","zh-CN"
"ロングショットのサークレット","狙神之环","zh-CN"
"ロケットフィスト","飞爪铁拳","zh-CN"
"風のアクシオム","气旋公理","zh-CN"
"ヴァンキッシャーのサークレット","征服者之环","zh-CN"
"アーティファクトの専門家: 心身統御のペンダント","神器专家：激发之匣","zh-CN"
"イシュタルのクラウン","以绪塔尔之冕","zh-CN"
"バンドルバウンティー II","班德尔奖金 II","zh-CN"
"アーティファクトの専門家: ドーンコア","神器专家：黎明核心","zh-CN"
"展望","诺克斯伊狄的远谋","zh-CN"
"木のアクシオム","森罗公理","zh-CN"
"炎のアクシオム","炽焰公理","zh-CN"
"プラシディウムの英雄","普雷西典的英雄","zh-CN"
"イシュタルのサークレット","以绪塔尔之环","zh-CN"
"ゾウンのクレスト","祖安之徽","zh-CN"
"インヴォーカーのクレスト","神谕者之徽","zh-CN"
"ジャガーノートのサークレット","主宰之环","zh-CN"
"フレヨルドのクラウン","弗雷尔卓德之冕","zh-CN"
"ヴァンキッシャーのクレスト","征服者之徽","zh-CN"
"アーティファクトの専門家: プローラー クロウ","神器专家：暗行者之爪","zh-CN"
"殺気駆け","奥义！影缚","zh-CN"
"アルカニストのクラウン","法师之冕","zh-CN"
"スレイヤーのサークレット","裁决战士之环","zh-CN"
"アーティファクトの専門家: タイタン ハイドラ","神器专家：巨型九头蛇","zh-CN"
"アイオニアのサークレット","艾欧尼亚之环","zh-CN"
"ノクサスのクラウン","诺克萨斯之冕","zh-CN"
"真の道を歩め II","行走于真实之道 II","zh-CN"
"アーティファクトの専門家: スペクトラル カトラス","神器专家：幽魂弯刀","zh-CN"
"シルコの復讐","希尔科的复仇","zh-CN"
"ワールドルーン","世界符文","zh-CN"
"アーティファクトの専門家: 超越のタリスマン","神器专家：飞升护符","zh-CN"
"ディスラプターのクレスト","耀光使之徽","zh-CN"
"ロングショットのクラウン","狙神之冕","zh-CN"
"ヴォイドのクラウン","虚空之冕","zh-CN"
"アーティファクトの専門家: ホライ���ン フォーカス","神器专家：视界专注","zh-CN"
"ヘクスゲート トラベル","海克斯飞门之旅","zh-CN"
"アーティファクトの専門家: スナイパー フォーカス","神器专家：狙击手的专注","zh-CN"
"信仰震","信仰之跃","zh-CN"
"アーティファクトの専門家: ウィッツ エンド","神器专家：智慧末刃","zh-CN"
"光の番人","光明哨兵","zh-CN"
"武力","诺克斯克里的武力","zh-CN"
"ピルトーヴァーのクラウン","皮尔特沃夫之冕","zh-CN"
"デマーシアのクレスト","德玛西亚之徽","zh-CN"
"ジャガーノートのクレスト","主宰之徽","zh-CN"
"ヨードルのクレスト","约德尔人之徽","zh-CN"
"ブルーザーのクラウン","斗士之冕","zh-CN"
"ノクサスのクレスト","诺克萨斯之徽","zh-CN"
"韋駄天のクラウン","迅击战士之冕","zh-CN"
"選ばれし狼","与狼共舞","zh-CN"
"インヴォーカーのサークレット","神谕者之环","zh-CN"
"ガンスリンガーのクレスト","枪手之徽","zh-CN"
"ガンスリンガーのサークレット","枪手之环","zh-CN"
"アーティファクトの専門家: ライトシールドのクレスト","神器专家：光盾徽章","zh-CN"
"パーフェクトパリィ","完美闪避","zh-CN"
"アクシオマタ","元初公理","zh-CN"
"シヴエキスパート: ツイステッド・フェイト","电刃专家：崔斯特","zh-CN"
"リフティング大会","举重比赛","zh-CN"
"タイムワインダー","时间旅者","zh-CN"
"砂漠の秘密","沙海奥秘","zh-CN"
"アーティファクトの専門家: 終わりなき絶望","神器专家：无终恨意","zh-CN"
"インヴォーカーのクラウン","神谕者之冕","zh-CN"
"ノクサスのサークレット","诺克萨斯之环","zh-CN"
"アルカニストのサークレット","法师之环","zh-CN"
"ワーデンのクレスト","神盾使之徽","zh-CN"
"韋駄天のサークレット","迅击战士之环","zh-CN"
"ビルジウォーターのサークレット","比尔吉沃特之环","zh-CN"
"アーティファクトの専門家: シーカー アームガード","神器专家：探索者的护臂","zh-CN"
"混沌への呼び声","混沌召唤","zh-CN"
"金のタマゴ","金蛋","zh-CN"
"報復","正义报复","zh-CN"
"ミニマックス","可大可小","zh-CN"
"優柔不断 II","优柔寡断 II","zh-CN"
"Arcane ビクタリー","双城赢家","zh-CN"
"エピックなロールダウン","8级D干的传说","zh-CN"
"マックスビルド","顶尖构筑","zh-CN"
"ファイアセール","火爆甩卖","zh-CN"
"広がる根","蔓延之根","zh-CN"
"優柔不断 I","优柔寡断 I","zh-CN"
"サバイバー","幸存者","zh-CN"
"小さな福袋","小小福袋","zh-CN"
"ウォーロードの名誉","猛将的荣耀","zh-CN"
"チーム構築","团队建设","zh-CN"
"タクティシャンの台所","锅铲厨房","zh-CN"
"ハスラー","花到上头","zh-CN"
"盗賊団 II+","窃贼帮派 II+","zh-CN"
"ジャイアント&マイティ","大而有力","zh-CN"
"複製","反响","zh-CN"
"衝突試験用ダミー","碰撞测试假人","zh-CN"
"ラッキーグローブ+","幸运手套+","zh-CN"
"ダミー化","假人化","zh-CN"
"忍耐の美徳","耐��是一种美德","zh-CN"
"もっと怖いキャップ","更要命的帽子","zh-CN"
"小さくても強烈","小而致命","zh-CN"
"オーグメントパワー","强化之能量","zh-CN"
"食堂","饭厅","zh-CN"
"ミスコネクション","别再错过","zh-CN"
"勝ち抜け","登上最高峰","zh-CN"
"生涯ブロンズ II","终身黄铜 II","zh-CN"
"クラウンの決意","王冠意志","zh-CN"
"トライフェクタ I","三项赛 I","zh-CN"
"早期教育","宝宝学院","zh-CN"
"成長志向","成长型思维","zh-CN"
"プリズムの運命+","棱彩命运+","zh-CN"
"トライフェクタ II","三项赛 II","zh-CN"
"混沌の進化","无序进化","zh-CN"
"バフが1つ、バフが2つ","1个霸符，2个霸符","zh-CN"
"グラスキャノン I","玻璃大炮 I","zh-CN"
"パンドラのベンチ","潘朵拉的备战席","zh-CN"
"即席アーマー I","应急护甲 I","zh-CN"
"即席アーマー II","应急护甲 II","zh-CN"
"上方移動","上进心","zh-CN"
"ビッグフレンド I","大哥罩我 I","zh-CN"
"爆発的成長+","爆炸式增长+","zh-CN"
"シルバーの運命","白银命运","zh-CN"
"爆発的成長","爆炸式增长","zh-CN"
"精密かつ優雅","精准而优雅","zh-CN"
"ベストフレンド II","最佳好友 II","zh-CN"
"乱れる思考","纷乱头脑","zh-CN"
"ベストフレンド I","最佳好友 I","zh-CN"
"シルバーの運命+","白银命运+","zh-CN"
"王冠とは重きもの","王冠之重","zh-CN"
"全身全霊","硬性承诺","zh-CN"
"セラフィムの杖","炽天使之拥","zh-CN"
"埋もれた宝物","珍藏财宝","zh-CN"
"ギリギリの救出","最后一秒营救","zh-CN"
"紡がれし魔法","纺织魔法","zh-CN"
"ヒーリングオーブ I","治疗法球 I","zh-CN"
"特性の木+","羁绊树+","zh-CN"
"残り物","餐桌剩菜","zh-CN"
"ラッキーグローブ","幸运手套","zh-CN"
"ゴールドの運命","黄金命运","zh-CN"
"戴冠式","加冕礼","zh-CN"
"一致団結","集结战队","zh-CN"
"昼食代","午餐钱","zh-CN"
"九死に一生","九条命","zh-CN"
"戦場の略奪 I","战争财宝 I","zh-CN"
"待つ価値あり","值得等待","zh-CN"
"構成拡大+","节外生枝+","zh-CN"
"アイテム福袋","装备百宝袋","zh-CN"
"思惑買い","遥遥领先","zh-CN"
"杖鍛冶","杖之工匠","zh-CN"
"想定内の意外性","意料之中的意外","zh-CN"
"プラシーボ+","安慰剂+","zh-CN"
"前線維持","坚守防线","zh-CN"
"精神の交わり","灵魂连接","zh-CN"
"カナとカネ","黑铁资产","zh-CN"
"たっぷりリロール","大刷特刷","zh-CN"
"炎を強めて","火上浇油","zh-CN"
"ゴールドの運命+","黄金命运+","zh-CN"
"値切り上手","砍价高手","zh-CN"
"ヘッジファンド","对冲基金","zh-CN"
"お得な2","由二生D","zh-CN"
"英雄のラッキーバッグ+","英勇福袋+","zh-CN"
"援護の弓","战时补给：反曲之弓","zh-CN"
"主人公補正","应急护盾","zh-CN"
"鋼の心","心之钢","zh-CN"
"犠牲的協約","恶魔契约","zh-CN"
"英雄のラッキーバッグ++","英勇福袋++","zh-CN"
"回収箱","打捞桶","zh-CN"
"研究熱心","耐心学习","zh-CN"
"アーフの策略","海牛阿福的锅铲战术","zh-CN"
"叩きつけ","物尽其用","zh-CN"
"生涯ブロンズ I","终身黄铜 I","zh-CN"
"魂かサーペントか","灵魂与银蛇之择","zh-CN"
"高電圧","高压电","zh-CN"
"俺だけレベルアップ","独自升级","zh-CN"
"エグザイル I","浪人 I","zh-CN"
"宝探し","寻宝","zh-CN"
"ちょっとだけ魔法のダイス","轻量魔法投掷","zh-CN"
"2のトリック","两把刷子","zh-CN"
"ここがセンター","C位的觉悟","zh-CN"
"有効活用 I","有用之材 I","zh-CN"
"回収箱+","打捞桶+","zh-CN"
"リデンプションの魂","救赎盔甲","zh-CN"
"高速ダブルキル","一波带走俩","zh-CN"
"先見性","前瞻思维","zh-CN"
"柔軟性","灵活摇摆","zh-CN"
"ミッションの再開","重启任务","zh-CN"
"デュオキュー","双排","zh-CN"
"戦闘準備 II","伺机待发 II","zh-CN"
"叩きつけ+","物尽其用+","zh-CN"
"レベルアップ！","升级咯！","zh-CN"
"ツインガーディアン","双子守护神","zh-CN"
"起死回生","复苏之风","zh-CN"
"スター誕生","天生二星","zh-CN"
"前借り","高级贷款","zh-CN"
"黄金の龍","金霖龙","zh-CN"
"連続魔法","战时补给：无用大棒","zh-CN"
"バイナリー空中投下","二进制空投","zh-CN"
"ワン、ツー、ファイブ！","一，二，五！","zh-CN"
"銀の匙","银汤匙","zh-CN"
"インフィニティの守護","三相庇护","zh-CN"
"仕送り","关爱包裹","zh-CN"
"剣鍛冶","剑之工匠","zh-CN"
"エポック+","新纪元+","zh-CN"
"カフナフナ","秘传奥义","zh-CN"
"素材アイテムヘイスト","散件丰收日","zh-CN"
"オーラ育成中","低调炫耀","zh-CN"
"ベルト オーバーフロー","腰带溢流","zh-CN"
"力に鍛えられしもの","神力天铸","zh-CN"
"ワンワン、ツーツー、スリー","一二二三","zh-CN"
"目には目を","以眼还眼","zh-CN"
"特性の木","羁绊树","zh-CN"
"普通預金口座","储蓄账户","zh-CN"
"巧みなクラフト","精心打造","zh-CN"
"ジュエル ロータス I","珠光莲花 I","zh-CN"
"バースデー リユニオン","生日聚会","zh-CN"
"カースドのクラウン","诅咒冠冕","zh-CN"
"素材ビュッフェ","基础装备自助餐","zh-CN"
"プロボクサー","赏金战士","zh-CN"
"英雄のラッキーバッグ","英勇福袋","zh-CN"
"限定カスタマイズ","专属定制","zh-CN"
"戦闘準備 I","伺机待发 I","zh-CN"
"投資完了++","投资++","zh-CN"
"ワンド オーバーフロー","法杖溢流","zh-CN"
"輝く悪党","光明无赖","zh-CN"
"広がる根+","蔓延之根+","zh-CN"
"アセンション","飞升","zh-CN"
"ラインナップ","列队","zh-CN"
"パンドラのアイテム II","潘朵拉的装备 II","zh-CN"
"豪華なサブスク","奢侈品订购","zh-CN"
"グラスキャノン II","玻璃大炮 II","zh-CN"
"混乱回復装置","变形重组器","zh-CN"
"重荷","运力不足","zh-CN"
"小さな仲間たち","小伙伴","zh-CN"
"効率的なショッピング","薅羊毛","zh-CN"
"ソーンプレートアーマー","棘刺镀板铠甲","zh-CN"
"前借り+","高级贷款+","zh-CN"
"コールショット","进攻宣告","zh-CN"
"コマース コア","贸易中心","zh-CN"
"目には目を+","以眼还眼+","zh-CN"
"集中砲火","集中火力","zh-CN"
"投資完了+","投资+","zh-CN"
"ボディーガードの訓練","利落保镖","zh-CN"
"ゴールドの雨","天降金币","zh-CN"
"好きなだけ泣くがいい","泪流成河","zh-CN"
"魔法のダイス","魔法投掷","zh-CN"
"ソード オーバーフロー","大剑溢流","zh-CN"
"いつでも一緒","水乳交融","zh-CN"
"明鏡止水","清晰头脑","zh-CN"
"待つ価値あり II","值得等待 II","zh-CN"
"巨大なタイタン","巨型泰坦","zh-CN"
"遅れて開始","延迟开始","zh-CN"
"ローリングデイズ I","D个痛快！ I","zh-CN"
"時計仕掛けの加速装置","发条增速器","zh-CN"
"盗賊団 II","窃贼帮派 II","zh-CN"
"腐食","腐蚀","zh-CN"
"ボクシングのレッスン","拳击课程","zh-CN"
"スターターキット","入门套件","zh-CN"
"レイトゲーム スペシャリスト","后期专家","zh-CN"
"ゴーレム化","魔像化","zh-CN"
"バースデープレゼント","生日礼物","zh-CN"
"炎の愛好家","嗜火","zh-CN"
"無差別殺人者","无差别攻击","zh-CN"
"シマースケールのエッセンス","金鳞精粹","zh-CN"
"流れる涙","战时补给：女神之泪","zh-CN"
"構成拡大","节外生枝","zh-CN"
"一人前プレート","单身板甲","zh-CN"
"甘いおやつ","甜点","zh-CN"
"戦場の略奪 III","战争财宝 III","zh-CN"
"戦場の略奪 II","战争财宝 II","zh-CN"
"プリズムの運命","棱彩命运","zh-CN"
"エグザイル II","浪人 II","zh-CN"
"盗賊団 II++","窃贼帮派 II++","zh-CN"
"槍の決意","长矛意志","zh-CN"
"最強の四配者","四费增援","zh-CN"
"偵察なし、変更なし","不侦察，不变阵","zh-CN"
"レイトゲーム スケーリング","后期收益","zh-CN"
"絶好調","升星之运","zh-CN"
"プラシーボ","安慰剂","zh-CN"
"邪悪な収益化","恶意货币化","zh-CN"
"料理鍋","金色炊具","zh-CN"
"パンドラのアイテム III","潘朵拉的装备 III","zh-CN"
"トレードセクター","DD街区","zh-CN"
"窃盗","挖角","zh-CN"
"大きな福袋","大百宝袋","zh-CN"
"庇護者の祝福","游神的眷顾","zh-CN"
"3×3","三，三，三！","zh-CN"
"クリティカル サクセス","战时补给：拳套","zh-CN"
"天の祝福 I","星界赐福 I","zh-CN"
"天の祝福 II","星界赐福 II","zh-CN"
"プリズムチケット","棱彩门票","zh-CN"
"道を切り拓け","战时补给：暴风大剑","zh-CN"
"天の祝福 III","星界赐福 III","zh-CN"
"庇護者のお供","游神的盟友","zh-CN"
"コンパニオン作成","挑个好伙计！","zh-CN"
"戦略的敗北","存心失利","zh-CN"
"命懸けの戦い","冒险举动","zh-CN"
"ソウルの目覚め","灵魂唤醒","zh-CN"
"盗賊団","窃贼帮派","zh-CN"
"普通の日々","人生切片","zh-CN"
"ジュエル ロータス II","珠光莲花 II","zh-CN"
"金のモンスーン","摇钱树","zh-CN"
"歩く鍛冶場","活体锻炉","zh-CN"
"出陣","征战之路","zh-CN"
"血の供物","鲜血祭品","zh-CN"
"レディアントの遺物","光明圣物","zh-CN"
"追加のバックル","战时补给：巨人腰带","zh-CN"
"メイスの決意","权杖意志","zh-CN"
"敵を知れ","了解你的敌人","zh-CN"
"3の軍団","三幻神","zh-CN"
"@Gold@ゴールド獲得","获得@Gold@金币","zh-CN"
"ダブルトラブル","好事成双","zh-CN"
"ステータスマシマシ","成吨的属性！","zh-CN"
"もっと小さな巨人","最小巨人","zh-CN"
"4のペア","一对4","zh-CN"
"エポック","新纪元","zh-CN"
"ヒーリングオーブ II","治疗法球 II","zh-CN"
"パンドラのアイテム","潘朵拉的装备","zh-CN"
"ポータブル フォージ","便携锻炉","zh-CN"
"未来の鍛冶場","休眠锻炉","zh-CN"
"逆転劇","绝境反击","zh-CN"
"確約された守護","承诺之护","zh-CN"
"デッドリアー ブレード","更要命的战刃","zh-CN"
"買い物三昧","大买特买","zh-CN"
"ジャストヒット","点击即送","zh-CN"
"デマーシア対ノクサスの戦争","德诺战争","zh-CN"
"特性の書","纹章之书","zh-CN"
"完成アイテムの金床","成装锻造器","zh-CN"
"素材アイテムの金床","基础装备锻造器","zh-CN"
"アーティファクトアイテムの金床","神器装备锻造器","zh-CN"
"サポートアイテムの金床","辅助装锻造器","zh-CN"
"マーセナリーの宝箱","赏金猎人宝箱","zh-CN"
"トリスターナ","崔丝塔娜","zh-CN"
"ルル","璐璐","zh-CN"
"ティーモ","提莫","zh-CN"
"ランブル","兰博","zh-CN"
"ノーチラス","诺提勒斯","zh-CN"
"ツイステッド・フェイト","崔斯特","zh-CN"
"ガングプランク","普朗克","zh-CN"
"イラオイ","俄洛伊","zh-CN"
"ミス・フォーチュン","厄运小姐","zh-CN"
"サイオン","赛恩","zh-CN"
"ブライアー","贝蕾亚","zh-CN"
"ドレイヴン","德莱文","zh-CN"
"アンベッサ","安蓓萨","zh-CN"
"ゾーイ","佐伊","zh-CN"
"レオナ","蕾欧娜","zh-CN"
"アフェリオス","厄斐琉斯","zh-CN"
"タリック","塔里克","zh-CN"
"ジャーヴァンⅣ","嘉文四世","zh-CN"
"ソナ","娑娜","zh-CN"
"ガレン","盖伦","zh-CN"
"ラックス","拉克丝","zh-CN"
"アニビア","艾尼维亚","zh-CN"
"アッシュ","艾希","zh-CN"
"ブラウム","布隆","zh-CN"
"リサンドラ","丽桑卓","zh-CN"
"ミリオ","米利欧","zh-CN"
"ニーコ","妮蔻","zh-CN"
"ジンクス","金克丝","zh-CN"
"ケイトリン","凯特琳","zh-CN"
"ヴァイ","蔚","zh-CN"
"セラフィーン","萨勒芬妮","zh-CN"
"ヤスオ","亚索","zh-CN"
"アーリ","阿狸","zh-CN"
"ウーコン","孙悟空","zh-CN"
"シェン","慎","zh-CN"
"マルザハール","玛尔扎哈","zh-CN"
"レク＝サイ","雷克塞","zh-CN"
"チョ＝ガス","科加斯","zh-CN"
"コグ＝マウ","克格莫","zh-CN"
"アニー","安妮","zh-CN"
"オーン","奥恩","zh-CN"
"キンドレッド","千珏","zh-CN"
"アジール","阿兹尔","zh-CN"
"ジリアン","基兰","zh-CN"
"フィドルスティックス","费德提克","zh-CN"
"シヴァーナ","希瓦娜","zh-CN"
"ガリオ","加里奥","zh-CN"
"タム・ケンチ","塔姆","zh-CN"
"セジュアニ","瑟庄妮","zh-CN"
"セト","瑟提","zh-CN"
"ブロック","岩宝","zh-CN"
"T-Hex","海克斯霸龙","zh-CN"
"ベル＝ヴェス","卑尔维斯","zh-CN"
"シンジド","辛吉德","zh-CN"
"オレリオン・ソル","奥瑞利安·索尔","zh-CN"
"ベイガー","维迦","zh-CN"
"バロンナッシャー","纳什男爵","zh-CN"
"ダリウス","德莱厄斯","zh-CN"
"ヨネ","永恩","zh-CN"
"ワーウィック","沃里克","zh-CN"
"フィズ","菲兹","zh-CN"
"ポッピー ","波比","zh-CN"
"ケネン ","凯南","zh-CN"
"ジグス ","吉格斯","zh-CN"
"エイトロックス ","亚托克斯","zh-CN"
"ボリベア ","沃利贝尔","zh-CN"
"ジン","烬","zh-CN"
"ピルトーヴァーの発明品","皮尔特沃夫发明","zh-CN"
"マルザハールのヴォイドリング","玛尔扎哈 虚灵","zh-CN"
"砂塵兵","黄沙士兵","zh-CN"
"サイラス ","塞拉斯","zh-CN"
"ライズ ","瑞兹","zh-CN"
"ニダリー ","奈德丽","zh-CN"
"トリンダメア ","泰达米尔","zh-CN"
"リフトヘラルド ","峡谷先锋","zh-CN"
"メル ","梅尔","zh-CN"
"グレイブス ","格雷福斯","zh-CN"
"スカーナー ","斯卡纳","zh-CN"
"ダイアナ ","黛安娜","zh-CN"
"カイ＝サ ","卡莎","zh-CN"
"レネクトン ","雷克顿","zh-CN"
"ナサス ","内瑟斯","zh-CN"
"ゼラス ","泽拉斯","zh-CN"
"スレッシュ ","锤石","zh-CN"
"グウェン ","格温","zh-CN"
"カリスタ ","卡莉丝塔","zh-CN"
"ルブラン ","乐芙兰","zh-CN"
"ヴィエゴ","佛耶戈","zh-CN"
"エコー","艾克","zh-CN"
"バード ","巴德","zh-CN"
"ヴェイン","薇恩","zh-CN"
"アタカン","厄塔汗","zh-CN"
"ユナラ","芸阿娜","zh-CN"
"スウェイン","斯维因","zh-CN"
"シン・ジャオ","赵信","zh-CN"
"ヨリック ","约里克","zh-CN"
"オリアナ ","奥莉安娜","zh-CN"
"キヤナ","奇亚娜","zh-CN"
"ロリス","洛里斯","zh-CN"
"ブリッツクランク","布里茨","zh-CN"
"凍った塔","冰封之塔","zh-CN"
"ドクター・ムンド","蒙多医生","zh-CN"
"ザーヘン","亚恒","zh-CN"
"ティバーズ","提伯斯","zh-CN"
"ルシアン&セナ","卢锡安与赛娜","zh-CN"
"コブコ&ユーミ","可酷伯与悠米","zh-CN"
"ゴーレム","魔像","zh-CN"
"リフトスカトル","峡谷迅捷蟹","zh-CN"
"ダミー","训练假人","zh-CN"
"エルダードラゴン","远古巨龙","zh-CN"
"超越者","远古巫灵","zh-CN"
"フレヨルド","弗雷尔卓德","zh-CN"
"ジャガーノート","主宰","zh-CN"
"韋駄天","迅击战士","zh-CN"
"ロングショット","狙神","zh-CN"
"ヴァンキッシャー","征服者","zh-CN"
"ケアテイカー","星界游神","zh-CN"
"イシュタル","以绪塔尔","zh-CN"
"アルカニスト","法师","zh-CN"
"エンペラー","沙漠皇帝","zh-CN"
"スターフォージャー","铸星龙王","zh-CN"
"ドラゴンボーン","龙血武姬","zh-CN"
"ガンスリンガー","枪手","zh-CN"
"ヘクスメック","海克斯机甲","zh-CN"
"チェインブレイカー","解脱者","zh-CN"
"ソウルバウンド","系魂圣枪","zh-CN"
"ピルトーヴァー","皮尔特沃夫","zh-CN"
"ダーキン","暗裔","zh-CN"
"エターナル","永猎双子","zh-CN"
"ダークチャイルド","黑暗之女","zh-CN"
"ワールドエンダー","暗裔剑魔","zh-CN"
"アシミレーター","虚空之女","zh-CN"
"ディスラプター","耀光使","zh-CN"
"ヴォイド","虚空","zh-CN"
"ルーンメイジ","符文法师","zh-CN"
"ザ・ボス","腕豪","zh-CN"
"グラットン","河流之王","zh-CN"
"インヴォーカー","神谕者","zh-CN"
"デマーシア","德玛西亚","zh-CN"
"ビルジウォーター","比尔吉沃特","zh-CN"
"リフトスカージ","纳什男爵","zh-CN"
"ターゴン","巨神峰","zh-CN"
"シュリーマ","恕瑞玛","zh-CN"
"ブラックスミス","山隐之焰","zh-CN"
"シャドウアイル","暗影岛","zh-CN"
"ハーベスター","远古恐惧","zh-CN"
"イモータル","不落魔锋","zh-CN"
"ヒロイック","正义巨像","zh-CN"
"ノクサス","诺克萨斯","zh-CN"
